N	10	15	20	25	30	35	40
EFNN time/s	4.56E-03	1.60E-02	1.62E-02	1.40E-02	7.08E-03	9.38E-03	7.59E-03
ED time/s	6.24E-03	3.11E-02	1.17E-01	4.82E-01	1.46E+00	3.56E+00	7.76E+00
